committee,committee_type,expenditure_amount,expenditure_date,recipient,city,state,zip,expenditure_type,explanation
Friends Of St. Vrain And Left Hand Water,Issue Committee,5,2/28/21 0:00,First Bank,Lakewood,CO,80215,Bank Fees,Bank Fee
Stop The Wolf Pac,Issue Committee,0.5,2/28/21 0:00,Campaign Solutions,Alexandria,VA,22314,Fundraising Expenses,
Stop The Wolf Pac,Issue Committee,0.51,2/28/21 0:00,Anedot,New Orleans,LA,70112,Bank Fees,
Coalition For Women And Children,Issue Committee,24,3/1/21 0:00,Google,Mountain Views Parkway,CA,94043,Other,6410 ∑ Registration & Hosting
Colorado Sierra Club - Elect The Wolf,Issue Committee,4884.79,3/1/21 0:00,Colorado Sierra Club,Denver,CO,80202,Other,Reimbursement To Club
Protect Animals From Unnecessary Suffering And Exploitation,Issue Committee,14.3,3/1/21 0:00,Alexander  Sage,Broomfield,CO,80038,Contributions,Stamps
Recall Polis 2020,Issue Committee,10,3/1/21 0:00,1St Bank,Loveland,CO,80537,Bank Fees,1St Bank Monthly Fee
Stop The Wolf Pac,Issue Committee,7.47,3/1/21 0:00,Judicial Watch,Washington,DC,20024,Other,Donation Of Remaining Cash Balance To 501 C 3 - Charity
Safe And Healthy Colorado,Issue Committee,7,3/2/21 0:00,Paragon Payment Solutions,Tempe,AZ,85282,Bank Fees,
Protect Animals From Unnecessary Suffering And Exploitation,Issue Committee,146,3/3/21 0:00,Alexander  Sage,Broomfield,CO,80038,Contributions,Usps Po Box 81 Purchased To Receive Mail
Protect Animals From Unnecessary Suffering And Exploitation,Issue Committee,20.02,3/3/21 0:00,Alexander  Sage,Broomfield,CO,80038,Contributions,Paper And Envelopes
Stop The Wolf Pac,Issue Committee,-0.5,3/3/21 0:00,Campaign Solutions,Alexandria,VA,22314,Returned Expenditure,Returned Donation Caused Returned Expenditure On Anedot
Americans For Prosperity Colorado Issue Committee,Issue Committee,1650,3/4/21 0:00,Colorado Secretary Of State,Denver,CO,80290,Other,Payment Of Penalty
Coalition For Women And Children,Issue Committee,55.54,3/5/21 0:00,Mailchimp,Atlanta,GA,30308,Other,7350 ∑ Email Service
Coalition For Women And Children,Issue Committee,10,3/5/21 0:00,,,,,Other,7229 ∑ Parking Expense
Colorado Stop The Wolf Coalition,Issue Committee,58407.77,3/5/21 0:00,Colorado Stop The Wolf Coalition,Grand Junction,CO,81502,Consultant & Professional Services,Accts Payable
Colorado Stop The Wolf Coalition,Issue Committee,24.99,3/7/21 0:00,Iotum.Com,Los Angles,CA,90028,Telephone,Conference Call Services
Energize Our Economy (306 Real Fair Tax),Issue Committee,2250,3/9/21 0:00,Strategic Compliance,Denver,CO,80205,Consultant & Professional Services,Compliance Consulting
"A Brighter, Healthier Future For Colorado'S Kids",Issue Committee,2,3/10/21 0:00,First Bank,Lakewood,CO,80215,Bank Fees,
Recall Polis 2020,Issue Committee,9.52,3/15/21 0:00,Recall Polis 2021,Breckenridge,CO,80424,Contributions,Contributed To Recall Polis 2021
Recall Polis 2021,Issue Committee,60,3/15/21 0:00,Lori A Cutunilli,Frisco,CO,80443,Other,Purchase Website Domain
Recall Polis 2021,Issue Committee,-60,3/15/21 0:00,Lori A Cutunilli,Frisco,CO,80443,Other,Offset Due To Update Of Filed Item - Purchase Website Domain
Recall Polis 2021,Issue Committee,60,3/15/21 0:00,Google Domains,Mountain View,CA,94043,Advertising,Purchase Website Domain
Protect Animals From Unnecessary Suffering And Exploitation,Issue Committee,20,3/18/21 0:00,Alexander  Sage,Broomfield,CO,80038,Contributions,Colorado Secretary Of State Www.Sos.State.Co.Us Statement Of Trade Name
Protect Animals From Unnecessary Suffering And Exploitation,Issue Committee,20,3/19/21 0:00,Alexander  Sage,Broomfield,CO,80038,Contributions,Opening Bank Account Bank Of The West
Protect Animals From Unnecessary Suffering And Exploitation,Issue Committee,20.99,3/19/21 0:00,Alexander  Sage,Broomfield,CO,80038,Contributions,Folders
Iam27J,Issue Committee,89,3/22/21 0:00,Nationbuilder,Los Angeles,CA,90071,Consultant & Professional Services,Nationbuilder
Recall Polis 2021,Issue Committee,20,3/22/21 0:00,Lori A Cutunilli,Frisco,CO,80443,Other,File Trade Name Registration - Polis Recall 2021
Recall Polis 2021,Issue Committee,-20,3/22/21 0:00,Lori A Cutunilli,Frisco,CO,80443,Other,Offset Due To Update Of Filed Item - File Trade Name Registration - Polis Recall 2021
Recall Polis 2021,Issue Committee,20,3/22/21 0:00,Secretary Of State,Denver,CO,80290,Advertising,File Trade Name Registration - Polis Recall 2021
Campaign For Real Election Protection,Issue Committee,10,3/31/21 0:00,"Wells Fargo Bank, Na",Highlands Ranch,CO,80129,Bank Fees,
Coalition For Women And Children,Issue Committee,2,3/31/21 0:00,Firstbank North,Arvada,CO,80006,Other,7810 ∑ Service Charges
Coalition For Women And Children,Issue Committee,0.15,3/31/21 0:00,,,,,Other,7214 ∑ Office Supplies
Colorado Rising For Health And Safety,Issue Committee,2,3/31/21 0:00,Firstbank Of Boulder,Boulder,CO,80301,Bank Fees,Bank Charge Toward Credit Card
Educators For Equity,Issue Committee,2,3/31/21 0:00,,,,,Bank Fees,
Friends Of St. Vrain And Left Hand Water,Issue Committee,5,3/31/21 0:00,First Bank,Lakewood,CO,80215,Bank Fees,Bank Fee
Friends Of St. Vrain And Left Hand Water,Issue Committee,500,3/31/21 0:00,Rkg Development,Layfayette,CO,80026,Consultant & Professional Services,Compliance Help
Iam27J,Issue Committee,19,3/31/21 0:00,Tbk Bank,Bettenforf,IA,52722,Bank Fees,Paper Statement And Service Fee
Iam27J,Issue Committee,-19,3/31/21 0:00,Tbk Bank,Bettenforf,IA,52722,Bank Fees,Offset Due To Update Of Filed Item - Paper Statement And Service Fee
Iam27J,Issue Committee,19,3/31/21 0:00,Tbk Bank,Bettenforf,IA,52722,Bank Fees,Paper Statement And Service Fee
The Stop Pause Coalition,Issue Committee,15.4,3/31/21 0:00,"Anedot, Inc",New Orleans,LA,70112,Fundraising Expenses,
Recall Polis 2021,Issue Committee,10,4/1/21 0:00,1St Bank,Loveland,CO,80537,Bank Fees,Monthly Checking Account Service Fee
Protect Animals From Unnecessary Suffering And Exploitation,Issue Committee,99,4/2/21 0:00,Alexander  Sage,Broomfield,CO,80038,Contributions,Harbor Compliance Registered Agent Service
Safe And Healthy Colorado,Issue Committee,32,4/2/21 0:00,Paragon Payment Solutions,Tempe,AZ,85282,Bank Fees,
Protect Animals From Unnecessary Suffering And Exploitation,Issue Committee,2.32,4/4/21 0:00,Staples,Westminster,CO,80020,Office Equipment & Supplies,
Coalition For Women And Children,Issue Committee,24,4/5/21 0:00,Google,Mountain Views Parkway,CA,94043,Other,6410 ∑ Registration & Hosting
Coalition For Women And Children,Issue Committee,55.54,4/6/21 0:00,Mailchimp,Atlanta,GA,30308,Other,7350 ∑ Email Service
Coalition For Women And Children,Issue Committee,0.52,4/7/21 0:00,The Ups Store,Wheat Ridge,CO,80033,Other,7214 ∑ Office Supplies
"A Brighter, Healthier Future For Colorado'S Kids",Issue Committee,2,4/9/21 0:00,First Bank,Lakewood,CO,80215,Bank Fees,
Educators For Equity,Issue Committee,67,4/9/21 0:00,1St Bank,Denver,CO,80222,Bank Fees,
Citizens For Arts To Zoo,Issue Committee,900,4/11/21 0:00,K.K.  Ciruli,San Clemente,CA,92672,Consultant & Professional Services,
Coalition For Women And Children,Issue Committee,0.15,4/12/21 0:00,Fedex,Memphis,TN,38118,Other,7215 ∑ Shipping & Postage
"No On Prop 118: Higher Taxes, More Bureaucracy, A Lavish, New Program Destined For Bankruptcy",Issue Committee,900,4/12/21 0:00,Hughes & Company,Denver,CO,80203,Consultant & Professional Services,Accounting Services
Protect Animals From Unnecessary Suffering And Exploitation,Issue Committee,0.18,4/13/21 0:00,Staples,Westminster,CO,80020,Office Equipment & Supplies,Printing
Protect Animals From Unnecessary Suffering And Exploitation,Issue Committee,6.4,4/13/21 0:00,Alexander  Sage,Broomfield,CO,80038,Contributions,Clip Board & Sign Up Sheets
Coalition For Women And Children,Issue Committee,0.15,4/15/21 0:00,Fedex,Memphis,TN,38118,Other,7215 ∑ Shipping & Postage
Coalition For Women And Children,Issue Committee,525.35,4/15/21 0:00,"Sws Polifi, Llc",Fort Lupton,CO,80621,Other,7520 ∑ Accounting Fees
Coalition For Women And Children,Issue Committee,8.63,4/16/21 0:00,Manna Restaurant,Aurora,CO,80014,Other,7231 ∑ Refreshments & Food
Dismiss Polis,Issue Committee,18255.47,4/16/21 0:00,Colorado Political Rescue (Cpr),Sterling,CO,80751,Donation for Independent Expenditures,
"No On Prop 118: Higher Taxes, More Bureaucracy, A Lavish, New Program Destined For Bankruptcy",Issue Committee,33.47,4/16/21 0:00,Rocky Mountain Mechanical Contractors Association,Denver,CO,80204,Office Equipment & Supplies,Office Expenses
Iam27J,Issue Committee,89,4/18/21 0:00,Nationbuilder,Los Angeles,CA,90071,Consultant & Professional Services,Nationbuilder
Protect Animals From Unnecessary Suffering And Exploitation,Issue Committee,0.99,4/18/21 0:00,Actblue Technical Services,Somerville,MA,02144-3132,Bank Fees,
The Committee For Spending Transparency,Issue Committee,253500,4/20/21 0:00,Blitz Canvassing,Denver,CO,80231,Other,Signature Gathering
Coloradans For Animal Care,Issue Committee,2.3,4/21/21 0:00,Anedot,Baton Rouge,LA,70809,Fundraising Expenses,Credit Card Processing
Coloradans For Animal Care,Issue Committee,0.7,4/22/21 0:00,Anedot,Baton Rouge,LA,70809,Fundraising Expenses,Credit Card Processing
Coloradans For Animal Care,Issue Committee,2.3,4/22/21 0:00,Anedot,Baton Rouge,LA,70809,Fundraising Expenses,Credit Card Processing
Coloradans For Animal Care,Issue Committee,1.1,4/22/21 0:00,Anedot,Baton Rouge,LA,70809,Fundraising Expenses,Credit Card Processing
Coloradans For Animal Care,Issue Committee,2.3,4/22/21 0:00,Anedot,Baton Rouge,LA,70809,Fundraising Expenses,Credit Card Processing
Coloradans For Animal Care,Issue Committee,2.3,4/22/21 0:00,Anedot,Baton Rouge,LA,70809,Fundraising Expenses,Credit Card Processing
Coloradans For Animal Care,Issue Committee,1.1,4/22/21 0:00,Anedot,Baton Rouge,LA,70809,Fundraising Expenses,Credit Card Processing
Yes On Prop. 119,Issue Committee,10,4/22/21 0:00,First Bank,Denver,CO,80231,Bank Fees,Wire Transfer Fee
Coloradans For Animal Care,Issue Committee,10.3,4/23/21 0:00,Anedot,Baton Rouge,LA,70809,Fundraising Expenses,Credit Card Processing
Coloradans For Animal Care,Issue Committee,4.3,4/23/21 0:00,Anedot,Baton Rouge,LA,70809,Fundraising Expenses,Credit Card Processing
Coloradans For Animal Care,Issue Committee,1.3,4/23/21 0:00,Anedot,Baton Rouge,LA,70809,Fundraising Expenses,Credit Card Processing
Coloradans For Animal Care,Issue Committee,0.7,4/23/21 0:00,Anedot,Baton Rouge,LA,70809,Fundraising Expenses,Credit Card Processing
Coloradans For Animal Care,Issue Committee,20.3,4/23/21 0:00,Anedot,Baton Rouge,LA,70809,Fundraising Expenses,Credit Card Processing
Coloradans For Animal Care,Issue Committee,2.3,4/23/21 0:00,Anedot,Baton Rouge,LA,70809,Fundraising Expenses,Credit Card Processing
Coloradans For Animal Care,Issue Committee,0.5,4/23/21 0:00,Anedot,Baton Rouge,LA,70809,Fundraising Expenses,Credit Card Processing
Coloradans For Animal Care,Issue Committee,4.3,4/23/21 0:00,Anedot,Baton Rouge,LA,70809,Fundraising Expenses,Credit Card Processing
Coloradans For Animal Care,Issue Committee,4.3,4/23/21 0:00,Anedot,Baton Rouge,LA,70809,Fundraising Expenses,Credit Card Processing
Coloradans For Animal Care,Issue Committee,1.3,4/23/21 0:00,Anedot,Baton Rouge,LA,70809,Fundraising Expenses,Credit Card Processing
Coloradans For Animal Care,Issue Committee,4.3,4/23/21 0:00,Anedot,Baton Rouge,LA,70809,Fundraising Expenses,Credit Card Processing
Coloradans For Animal Care,Issue Committee,4.3,4/23/21 0:00,Anedot,Baton Rouge,LA,70809,Fundraising Expenses,Credit Card Processing
Coloradans For Animal Care,Issue Committee,2.3,4/23/21 0:00,Anedot,Baton Rouge,LA,70809,Fundraising Expenses,Credit Card Processing
Coloradans For Animal Care,Issue Committee,1.1,4/23/21 0:00,Anedot,Baton Rouge,LA,70809,Fundraising Expenses,Credit Card Processing
Coloradans For Animal Care,Issue Committee,2.3,4/23/21 0:00,Anedot,Baton Rouge,LA,70809,Fundraising Expenses,Credit Card Processing
Coloradans For Animal Care,Issue Committee,1.1,4/23/21 0:00,Anedot,Baton Rouge,LA,70809,Fundraising Expenses,Credit Card Processing
Protect Animals From Unnecessary Suffering And Exploitation,Issue Committee,27.71,4/25/21 0:00,Alexander  Sage,Broomfield,CO,80038,Office Equipment & Supplies,"Clip Board, Name Tags"
Protect Animals From Unnecessary Suffering And Exploitation,Issue Committee,5.93,4/25/21 0:00,Actblue Technical Services,Somerville,MA,02144-3132,Bank Fees,Online Payment System Service Fee
Coloradans For Animal Care,Issue Committee,40.3,4/26/21 0:00,Anedot,Baton Rouge,LA,70809,Fundraising Expenses,Credit Card Processing
Coloradans For Animal Care,Issue Committee,4.3,4/26/21 0:00,Anedot,Baton Rouge,LA,70809,Fundraising Expenses,Credit Card Processing
Coloradans For Animal Care,Issue Committee,20.3,4/26/21 0:00,Anedot,Baton Rouge,LA,70809,Fundraising Expenses,Credit Card Processing
Yes On Prop. 119,Issue Committee,240000,4/26/21 0:00,Blitz Canvassing Llc,Denver,CO,80231,Consultant & Professional Services,Deposit For Canvassing
Yes On Prop. 119,Issue Committee,30,4/26/21 0:00,First Bank,Denver,CO,80231,Bank Fees,Wire Transfer Fee
Coloradans For Animal Care,Issue Committee,3.3,4/27/21 0:00,Anedot,Baton Rouge,LA,70808,Fundraising Expenses,Credit Card Processing
Campaign For Real Election Protection,Issue Committee,10,4/30/21 0:00,"Wells Fargo Bank, Na",Highlands Ranch,CO,80129,Bank Fees,
Coalition For Women And Children,Issue Committee,2,4/30/21 0:00,Firstbank North,Arvada,CO,80006,Other,7810 ∑ Service Charges
Coloradans For Animal Care,Issue Committee,600,4/30/21 0:00,Strategic Compliance Llc,Denver,CO,80205,Consultant & Professional Services,Credit Card Processing
Colorado Rising For Health And Safety,Issue Committee,2,4/30/21 0:00,Firstbank Of Boulder,Boulder,CO,80301,Bank Fees,Bank Charge Toward Credit Card
Educators For Equity,Issue Committee,180,4/30/21 0:00,Scarlett Greene,Denver,CO,80210-2812,Consultant & Professional Services,
Educators For Equity,Issue Committee,2,4/30/21 0:00,,,,,Bank Fees,
Friends Of St. Vrain And Left Hand Water,Issue Committee,5,4/30/21 0:00,First Bank,Lakewood,CO,80215,Bank Fees,
Iam27J,Issue Committee,19,4/30/21 0:00,Tbk Bank,Bettenforf,IA,52722,Bank Fees,Paper Statement And Service Charge For Maintenance Taken Directly From Account
Coalition For Women And Children,Issue Committee,24,5/3/21 0:00,Google,Mountain Views Parkway,CA,94043,Other,7223 ∑ Software Expense
Coloradans For Animal Care,Issue Committee,2.3,5/3/21 0:00,Anedot,Baton Rouge,LA,70808,Fundraising Expenses,Credit Card Processing
Safe And Healthy Colorado,Issue Committee,17,5/3/21 0:00,Paragon Payment Solutions,Tempe,AZ,85282,Bank Fees,
Allies For Co Ag,Issue Committee,15,5/4/21 0:00,Jocelyn  Buhr,La Jara,CO,81140,Other,Reimbursement To Jocelyn Buhr For Cost Of Yard Sign Or Banner
Allies For Co Ag,Issue Committee,35,5/4/21 0:00,Jocelyn  Buhr,La Jara,CO,81140,Other,Reimbursement To Jocelyn Buhr For Cost Of Yard Sign Or Banner
Allies For Co Ag,Issue Committee,30,5/4/21 0:00,Jocelyn  Buhr,La Jara,CO,81140,Other,Reimbursement To Jocelyn Buhr For Cost Of Yard Sign Or Banner
Allies For Co Ag,Issue Committee,15,5/4/21 0:00,Jocelyn  Buhr,La Jara,CO,81140,Other,Reimbursement To Jocelyn Buhr For Cost Of Yard Sign Or Banner
Allies For Co Ag,Issue Committee,30,5/4/21 0:00,Jocelyn  Buhr,La Jara,CO,81140,Other,Reimbursement To Jocelyn Buhr For Cost Of Yard Sign Or Banner
Allies For Co Ag,Issue Committee,65,5/4/21 0:00,Jocelyn  Buhr,La Jara,CO,81140,Other,Reimbursement To Jocelyn Buhr For Cost Of Yard Sign Or Banner
Allies For Co Ag,Issue Committee,30,5/4/21 0:00,Jocelyn  Buhr,La Jara,CO,81140,Other,Reimbursement To Jocelyn Buhr For Cost Of Yard Sign Or Banner
Allies For Co Ag,Issue Committee,35,5/4/21 0:00,Jocelyn  Buhr,La Jara,CO,81140,Other,Reimbursement To Jocelyn Buhr For Cost Of Yard Sign Or Banner
Allies For Co Ag,Issue Committee,45,5/4/21 0:00,Jocelyn  Buhr,La Jara,CO,81140,Other,Reimbursement To Jocelyn Buhr For Cost Of Yard Sign Or Banner
Allies For Co Ag,Issue Committee,15,5/4/21 0:00,Jocelyn  Buhr,La Jara,CO,81140,Other,Reimbursement To Jocelyn Buhr For Cost Of Yard Sign Or Banner
Allies For Co Ag,Issue Committee,35,5/4/21 0:00,Jocelyn  Buhr,La Jara,CO,81140,Other,Reimbursement To Jocelyn Buhr For Cost Of Yard Sign Or Banner
Coloradans For Animal Care,Issue Committee,2.3,5/4/21 0:00,Anedot,Baton Rouge,LA,70808,Fundraising Expenses,Credit Card Processing
Cut Property Taxes,Issue Committee,300000,5/4/21 0:00,Victors Canvassing,Colorado Springs,CO,80903,Consultant & Professional Services,Signature Gathering
Allies For Co Ag,Issue Committee,65,5/5/21 0:00,Jocelyn  Buhr,La Jara,CO,81140,Other,Reimbursement To Jocelyn Buhr For Cost Of Yard Sign Or Banner
Allies For Co Ag,Issue Committee,30,5/5/21 0:00,Jocelyn  Buhr,La Jara,CO,81140,Other,Reimbursement To Jocelyn Buhr For Cost Of Yard Sign Or Banner
Allies For Co Ag,Issue Committee,185,5/5/21 0:00,Jocelyn  Buhr,La Jara,CO,81140,Other,Reimbursement To Jocelyn Buhr For Cost Of Yard Sign Or Banner
Allies For Co Ag,Issue Committee,35,5/5/21 0:00,Jocelyn  Buhr,La Jara,CO,81140,Other,Reimbursement To Jocelyn Buhr For Cost Of Yard Sign Or Banner
Allies For Co Ag,Issue Committee,125,5/5/21 0:00,Jocelyn  Buhr,La Jara,CO,81140,Other,Reimbursement To Jocelyn Buhr For Cost Of Yard Sign Or Banner
Allies For Co Ag,Issue Committee,75,5/5/21 0:00,Jocelyn  Buhr,La Jara,CO,81140,Other,Reimbursement To Jocelyn Buhr For Cost Of Yard Sign Or Banner
Allies For Co Ag,Issue Committee,30,5/5/21 0:00,Jocelyn  Buhr,La Jara,CO,81140,Other,Reimbursement To Jocelyn Buhr For Cost Of Yard Sign Or Banner
Allies For Co Ag,Issue Committee,29.94,5/5/21 0:00,Godaddy.Com,Scottsdale,AZ,85260,Advertising,Godaddy.Com Website Domain And Hosting
Allies For Co Ag,Issue Committee,51.32,5/5/21 0:00,Godaddy.Com,Scottsdale,AZ,85260,Advertising,Godaddy.Com Website Domain And Hosting
Allies For Co Ag,Issue Committee,20.99,5/5/21 0:00,Godaddy.Com,Scottsdale,AZ,85260,Advertising,Godaddy.Com Website Domain And Hosting
Recall Polis 2021,Issue Committee,10,5/5/21 0:00,1St Bank,Loveland,CO,80537,Bank Fees,Monthly Bank Fee
Allies For Co Ag,Issue Committee,30,5/6/21 0:00,Jocelyn  Buhr,La Jara,CO,81140,Other,Reimbursement To Jocelyn Buhr For Cost Of Yard Sign Or Banner
Coalition For Women And Children,Issue Committee,55.54,5/6/21 0:00,Mailchimp,Atlanta,GA,30308,Other,7350 ∑ Email Service
Coloradans For Animal Care,Issue Committee,8.3,5/6/21 0:00,Anedot,Baton Rouge,LA,70808,Fundraising Expenses,Credit Card Processing
The Stop Pause Coalition,Issue Committee,400,5/7/21 0:00,1360 Khnc,Johnstown,CO,80534,Advertising,
"A Brighter, Healthier Future For Colorado'S Kids",Issue Committee,2,5/10/21 0:00,First Bank,Lakewood,CO,80215,Bank Fees,
"A Brighter, Healthier Future For Colorado'S Kids",Issue Committee,10,5/10/21 0:00,,,,,Other,Periodic Report Fee
Citizens For Arts To Zoo,Issue Committee,5000,5/10/21 0:00,Colorado Legislative Strategies,Denver,CO,80203,Consultant & Professional Services,
Iam27J,Issue Committee,100,5/10/21 0:00,John P Morse Cpa,Denve,CO,80210,Consultant & Professional Services,2020 Income Tax Preparation
Allies For Co Ag,Issue Committee,821.02,5/12/21 0:00,Simply Created Designs,Sanford,CO,81151,Fundraising Expenses,Yard Sign And Banner Order
Allies For Co Ag,Issue Committee,45,5/13/21 0:00,Jocelyn  Buhr,La Jara,CO,81140,Other,Reimbursement To Jocelyn Buhr For Cost Of Yard Sign Or Banner
Allies For Co Ag,Issue Committee,74.13,5/13/21 0:00,Uline,Aurora,CO,80011,Fundraising Expenses,Packing Materials For Shipping
Allies For Co Ag,Issue Committee,153.47,5/13/21 0:00,United States Postal Service,,,,Fundraising Expenses,Postage For Yard Signs And Banners
Recall Polis 2021,Issue Committee,250.64,5/13/21 0:00,Office Depot,Loveland,CO,80538,Advertising,Recall Signs
The Committee For Spending Transparency,Issue Committee,74,5/14/21 0:00,Us Bank,Parker,CO,80134,Bank Fees,Bank Fee
Coloradans For Animal Care,Issue Committee,2.3,5/15/21 0:00,Anedot,Baton Rouge,LA,70808,Fundraising Expenses,Credit Card Processing
Educators For Equity,Issue Committee,10,5/15/21 0:00,,,,,Other,Periodic Report
Allies For Co Ag,Issue Committee,15,5/18/21 0:00,Jocelyn  Buhr,La Jara,CO,81140,Other,Reimbursement To Jocelyn Buhr For Cost Of Yard Sign Or Banner
Allies For Co Ag,Issue Committee,38,5/19/21 0:00,Jocelyn  Buhr,La Jara,CO,81140,Other,Reimbursement To Jocelyn Buhr For Cost Of Yard Sign Or Banner
Coloradans For Animal Care,Issue Committee,4.3,5/19/21 0:00,Anedot,Baton Rouge,LA,70808,Fundraising Expenses,Credit Card Processing
Iam27J,Issue Committee,89,5/19/21 0:00,Nationbuilder,Los Angeles,CA,90071,Consultant & Professional Services,Nationbuilder
Coloradans For Animal Care,Issue Committee,20.3,5/20/21 0:00,Anedot,Baton Rouge,LA,70808,Fundraising Expenses,Credit Card Processing
Yes On Prop. 119,Issue Committee,1303.5,5/21/21 0:00,Maven Law Group,Denver,CO,80202,Consultant & Professional Services,Legal/Compliance
Yes On Prop. 119,Issue Committee,20729.33,5/21/21 0:00,Cottrell Printing Company,Centennial,CO,80112,Consultant & Professional Services,Printing Services
Yes On Prop. 119,Issue Committee,18500,5/21/21 0:00,Onsight Public Affairs Inc.,Boulder,CO,80308,Consultant & Professional Services,"Communications, Website, And Branding Services"
Yes On Prop. 119,Issue Committee,30348,5/21/21 0:00,76 Group,Frisco,CO,80443,Consultant & Professional Services,Campaign Management And Consulting
The Committee For Spending Transparency,Issue Committee,90326.5,5/21/21 0:00,Blitz Canvassing,Denver,CO,80231,Consultant & Professional Services,Signature Gathering
Coalition For Women And Children,Issue Committee,16.3,5/23/21 0:00,Anedot,Baton Rouge,LA,70808,Other,7820 ∑ Merchant Account Fees
Coalition For Women And Children,Issue Committee,500,5/24/21 0:00,Christine  Rosasco,Englewood,CO,80112,Other,6190 ∑ Other Media Expense
Coalition For Women And Children,Issue Committee,25,5/24/21 0:00,Google,Mountain Views Parkway,CA,94043,Other,6410 ∑ Registration & Hosting
Coalition For Women And Children,Issue Committee,19.1,5/24/21 0:00,Usps,Washington,DC,20260,Other,7215 ∑ Shipping & Postage
Yes On Prop. 119,Issue Committee,126672,5/24/21 0:00,Blitz Canvassing Llc,Denver,CO,80231,Consultant & Professional Services,Canvassing
Allies For Co Ag,Issue Committee,4.23,5/25/21 0:00,Gofundme,Redwood City,CA,94063,Bank Fees,Gofundme Transaction Fees
Coalition For Women And Children,Issue Committee,0.45,5/25/21 0:00,Fedex,Memphis,TN,38118,Other,6221 ∑ Printing
Coalition For Women And Children,Issue Committee,200,5/25/21 0:00,Wolfe Legal Services,Nashville,TN,37206,Other,7510 ∑ Attorney Fees
The Committee For Spending Transparency,Issue Committee,84731.65,5/26/21 0:00,Blitz Canvassing,Denver,CO,80231,Consultant & Professional Services,Signature Gathering
Coalition For Women And Children,Issue Committee,2,5/27/21 0:00,,,,,Other,7657 ∑ Vehicle Tolls And Parking
Allies For Co Ag,Issue Committee,214.94,5/28/21 0:00,Simply Created Designs,Sanford,CO,81151,Fundraising Expenses,Order For Yard Signs And Banners
Campaign For Real Election Protection,Issue Committee,10,5/28/21 0:00,"Wells Fargo Bank, Na",Highlands Ranch,CO,80129,Bank Fees,
Coalition For Women And Children,Issue Committee,2,5/28/21 0:00,Firstbank North,Arvada,CO,80006,Other,7810 ∑ Service Charges
Colorado Rising For Health And Safety,Issue Committee,2,5/28/21 0:00,Firstbank Of Boulder,Boulder,CO,80301,Bank Fees,Bank Charge Toward Credit Card
Educators For Equity,Issue Committee,2,5/28/21 0:00,,,,,Bank Fees,
Iam27J,Issue Committee,14,5/28/21 0:00,Tbk Bank,Bettenforf,IA,52722,Bank Fees,Bank Fee Since Less Than $5000 In Account
No On Ee - - A Bad Deal For Colorado,Issue Committee,10,5/28/21 0:00,,,,,Bank Fees,Bank Fees
The Committee For Spending Transparency,Issue Committee,83446,5/28/21 0:00,Blitz Canvassing,Denver,CO,80231,Consultant & Professional Services,Signature Gathering
Friends Of St. Vrain And Left Hand Water,Issue Committee,5,5/30/21 0:00,First Bank,Lakewood,CO,80215,Bank Fees,
Coalition For Women And Children,Issue Committee,77.35,6/1/21 0:00,Godaddy.Com Llc,Scottsdale,AZ,85260,Other,6410 ∑ Registration & Hosting
Coloradans For Animal Care,Issue Committee,9300,6/1/21 0:00,Recht Kornfeld Pc,Denver,CO,80202,Consultant & Professional Services,Legal Fees
Coloradans For Animal Care,Issue Committee,10515,6/1/21 0:00,Recht Kornfeld Pc,Denver,CO,80202,Consultant & Professional Services,Legal Fees
Recall Polis 2021,Issue Committee,10,6/1/21 0:00,1St Bank,Loveland,CO,80537,Bank Fees,Monthly Bank Fee
Recall Polis 2021,Issue Committee,-10,6/1/21 0:00,1St Bank,Loveland,CO,80537,Bank Fees,Offset Due To Update Of Filed Item - Monthly Bank Fee
Recall Polis 2021,Issue Committee,10,6/1/21 0:00,1St Bank,Loveland,CO,80537,Advertising,Monthly Bank Fee
Allies For Co Ag,Issue Committee,0.53,6/2/21 0:00,Paypal,San Jose,CA,95131,Bank Fees,Paypal Transaction Fees
Coalition For Women And Children,Issue Committee,24,6/2/21 0:00,Google,Mountain Views Parkway,CA,94043,Other,7350 ∑ Email Service
Coloradans For Animal Care,Issue Committee,10.3,6/2/21 0:00,Anedot,Baton Rouge,LA,70808,Fundraising Expenses,Credit Card Processing
Safe And Healthy Colorado,Issue Committee,27,6/2/21 0:00,Paragon Payment Solutions,Tempe,AZ,85282,Bank Fees,
Yes On Prop. 119,Issue Committee,10000,6/3/21 0:00,Onsight Public Affairs Inc.,Boulder,CO,80308,Consultant & Professional Services,Communications Consulting
Yes On Prop. 119,Issue Committee,6000,6/3/21 0:00,Powermap Ltd.,Wheat Ridge,CO,80214,Consultant & Professional Services,Outreach Consulting
Yes On Prop. 119,Issue Committee,6000,6/3/21 0:00,Powermap Ltd.,Wheat Ridge,CO,80214,Consultant & Professional Services,Outreach Consulting
Allies For Co Ag,Issue Committee,4.22,6/4/21 0:00,Paypal,San Jose,CA,95131,Bank Fees,Paypal Transaction Fees
Campaign For Real Election Protection,Issue Committee,15,6/4/21 0:00,Aclu Of Colorado,Denver,CO,80203,Contributions,Charitable Contribution To 501C3 To Close Out Bank Account
The Stop Pause Coalition,Issue Committee,400,6/5/21 0:00,1360 Khnc,Johnstown,CO,80534,Advertising,
